group_topic,final_location,tweet_count,account_count,temp_counts,temp_percentages
"snow, cold, uksnow",portugal,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"snow, cold, uksnow",poland,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"snow, cold, uksnow",northern county,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"snow, cold, uksnow",north hampshire,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"snow, cold, uksnow",north africa,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"snow, cold, uksnow","nengland, scotland",1,1,{'very cold': 1},{'very cold': '1 (100.0%)'}
"snow, cold, uksnow",n india,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"snow, cold, uksnow",morocco,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"snow, cold, uksnow",monaco,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"snow, cold, uksnow",lithuania,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"snow, cold, uksnow",hemel,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"pv, storm",Unknown,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"snow, cold, uksnow","england, britain",1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"snow, cold, uksnow","england dark, scotland, scotland",1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"snow, cold, uksnow",easternsoutheastern county,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"snow, cold, uksnow",east west,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"snow, cold, uksnow",east anglia,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"snow, cold, uksnow",czechia,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"snow, cold, uksnow",china,1,1,{'very cold': 1},{'very cold': '1 (100.0%)'}
"snow, cold, uksnow",beijing,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"snow, cold, uksnow",armenia,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"pv, storm, ssw",stormciara,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"pv, blocking",russia,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
pv,yahooooo,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
nao,jetstream,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"nao, ssw",united states,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"northerly, nao",Unknown,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
northerly,sweden,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
northerly,north west,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
northerly,"japan, japan",1,1,{'cold': 1},{'cold': '1 (100.0%)'}
northerly,italy,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
northerly,france,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
northerly,croatia,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"nao, storm, ssw",Unknown,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"nao, storm",iceland,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"nao, storm",germany,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"nao, ssw",uk,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"northerly, polarvortex",turkey,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"nao, ssw",russia,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"nao, ssw",norway,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"nao, ssw",anomaly,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"nao, ssts",norway,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"nao, ssts",iceland,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"nao, ssts",Unknown,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"nao, beastfromtheeast",Unknown,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
nao,switzerland,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
nao,novdecjan,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
nao,north british,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"northerly, nao",norway,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"northerly, polarvortex",united states,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
pv,uk,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"polarvortex, ssw",switzerland,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
pv,turkey,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
pv,texas,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
pv,spain,1,1,{'very cold': 1},{'very cold': '1 (100.0%)'}
pv,ohio,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
pv,liechtenstein,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
pv,la,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
pv,judah,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
pv,finland,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
pv,"canada, west greenland",1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"polarvortex, ssw",united states,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"polarvortex, ssw",polarvortex judah,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"northerly, ssw",Unknown,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"polarvortex, ssw",greece,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"polarvortex, beastfromtheeast",united kingdom,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
polarvortex,switzerland,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
polarvortex,italy,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
polarvortex,bulgaria,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
polarvortex,"anomaly, alaska",1,1,{'cold': 1},{'cold': '1 (100.0%)'}
polarvortex,anomaly,1,1,{'very cold': 1},{'very cold': '1 (100.0%)'}
polarvortex,andorra,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
polarvortex,alaska,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"northerly, storm",germany,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"winter, cold, weather",west warm,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
